rates

SECID;PRICE;PRICE_RUB;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;RTH1;RTL1;RTH2;RTL2;RTH3;RTL3;SHORTNAME;NAME;TYPENAME;ISIN;FACEUNIT;FACEVALUE;ISSUESIZE;MATDATE;IS_COLLATERAL;IS_EXTERNAL;IS_RII;REGISTRY_CLOSE_DATE;DISTRIBUTED_PROFIT_VALUE;LISTLEVEL;PRIMARY_BOARDID;DISCOUNTL0;DISCOUNTH0
ABRD;142,883;142,883;100;;;;;285,766;0;285,766;0;285,766;0;АбрауДюрсо;Абрау-Дюрсо ПАО ао;Акция обыкновенная;RU000A0JS5T7;RUB;1;98000184;;0;0;;26.06.2018;;3;TQBR;52,38;57,19
ACKO;7,09417;7,09417;100;;;;;14,18834;0;14,18834;0;14,18834;0;АСКО ао;АСКО-СТРАХОВАНИЕ ПАО ао;Акция обыкновенная;RU000A0JXS91;RUB;1;536000000;;0;0;;12.09.2018;;3;TQDE;20,20;13,10
AFKS;7,8619;7,8619;35;5617556;49;28087780;78;10,6136;5,1102;11,7142;4,0096;13,9942;1,7296;Система ао;АФК "Система" ПАО ао;Акция обыкновенная;RU000A0DQZE3;RUB;0,09;9650000000;;0;0;;19.07.2018;0,79;1;TQBR;10,04;6,93
AFLT;113,679;113,679;17;734224;23;3671120;34;133,004;94,354;139,825;87,533;152,33;75,028;Аэрофлот;Аэрофлот-росс.авиалин(ПАО)ао;Акция обыкновенная;RU0009062285;RUB;1;1110616299;;1;0;;06.07.2018;12,8053;1;TQBR;10,91;12,55
AKRN;4684,97;4684,97;50;3010;71;15050;95;7027,46;2342,49;8011,3;1358,64;9135,69;234,25;Акрон;Акрон ПАО ао;Акция обыкновенная;RU0009028674;RUB;5;40534000;;0;0;;30.10.2018;420;1;TQBR;5,05;3,16
ALBK;73,9392;73,9392;100;;;;;147,8784;0;147,8784;0;147,8784;0;БестЭфБ ао;Бест Эффортс Банк ПАО ао;Акция обыкновенная;RU000A0JS2M9;RUB;10;56490000;;0;0;;02.07.2018;;3;TQBR;26,85;63,22
ALNU;89926,09;89926,09;100;;;;;179852,18;0;179852,18;0;179852,18;0;АЛРОСА-Нюр;АЛРОСА-Нюрба ПАО ао;Акция обыкновенная;RU000A0JP468;RUB;25;800000;;0;0;;21.12.2017;;3;TQBR;14,36;20,25
ALRS;101,667;101,667;17;3796908;23;18984540;34;118,95;84,384;125,05;78,284;136,234;67,1;АЛРОСА ао;АЛРОСА ПАО ао;Акция обыкновенная;RU0007252813;RUB;0,5;7364965630;;1;0;;15.10.2018;5,24;1;TQBR;7,67;5,71
AMEZ;4,3105;4,3105;100;;;;;8,621;0;8,621;0;8,621;0;АшинскийМЗ; Ашинский метзавод ПАО ао;Акция обыкновенная;RU000A0B88G6;RUB;1;498454822;;0;0;;;;2;TQBR;6,92;10,33
APTK;4,496;4,496;70;1431434;80;7157170;95;7,643;1,349;8,093;0,899;8,767;0,225;Аптеки36и6;ПАО "Аптечная сеть 36,6" ао;Акция обыкновенная;RU0008081765;RUB;0,64;2330647246;;0;0;;;;2;TQBR;7,61;8,28
AQUA;139,885;139,885;100;;;;;279,77;0;279,77;0;279,77;0;РусАква ао;Русская Аквакультура ПАО ао;Акция обыкновенная;RU000A0JQTS3;RUB;100;87876649;;0;0;;;;2;TQBR;32,62;48,83
ARMD;7,464;7,464;100;;;;;14,928;0;14,928;0;14,928;0;Армада;АРМАДА ПАО ао;Акция обыкновенная;RU000A0JP4J4;RUB;1;14399997;;0;0;;;;3;TQDE;20,06;20,70
ARSA;3,31728;3,31728;100;;;;;6,63456;0;6,63456;0;6,63456;0;Арсагера;УК Арсагера ПАО-ао;Акция обыкновенная;RU000A0JP0Q7;RUB;1;123817165;;0;0;;;;3;TQBR;28,76;56,28
ASSB;0,4876;0,4876;100;;;;;0,9752;0;0,9752;0;0,9752;0;АстрЭнСб;"Астраханская ЭСК" ПАО;Акция обыкновенная;RU000A0D8MM8;RUB;0,007;773900078;;0;0;;03.06.2018;;3;TQBR;32,94;48,76
AVAG;;;100;;;;;;;;;;;АванАгр-ао;Авангард-Агро АО ао;Акция обыкновенная;RU000A0JWMY4;RUB;1000;0;;0;0;;;;;RPMA;31,35;56,28
AVAN;439,55;439,55;100;;;;;879,1;0;879,1;0;879,1;0;Авангрд-ао;АКБ "АВАНГАРД" ПАО ао;Акция обыкновенная;RU000A0DM7B3;RUB;10;80700000;;0;0;;08.07.2018;;3;TQBR;31,38;56,28
AVAZ;12,2705;12,2705;100;;;;;24,541;0;24,541;0;24,541;0;АВТОВАЗ ао;АВТОВАЗ (ПАО) ао;Акция обыкновенная;RU0009071187;RUB;5;10688153662;;0;0;;;;3;TQBR;5,27;6,97
AVAZP;12,0706;12,0706;100;;;;;24,1412;0;24,1412;0;24,1412;0;АВТОВАЗ ап;АВТОВАЗ (ПАО) ап;Акция привилегированная ;RU000A0JQ433;RUB;5;461764300;;0;0;;;;3;TQBR;7,07;6,11
BANE;1924,2;1924,2;35;3107;49;15535;78;2597,67;1250,73;2867,06;981,34;3425,08;423,32;Башнефт ао;Башнефть АНК ао;Акция обыкновенная;RU0007976957;RUB;1;147846489;;0;0;;09.07.2018;;3;TQBR;6,75;4,60
BANEP;1818,99;1818,99;35;10630;49;53150;78;2455,64;1182,34;2710,3;927,68;3237,8;400,18;Башнефт ап;Башнефть АНК ап;Акция привилегированная ;RU0007976965;RUB;1;29788012;;0;0;;09.07.2018;;3;TQBR;7,07;6,19
BELU;555,54;555,54;100;;;;;1111,08;0;1111,08;0;1111,08;0;Белуга ао;Белуга Групп ПАО ао;Акция обыкновенная;RU000A0HL5M1;RUB;100;19400000;;0;0;;;;2;TQBR;52,38;56,20
BISV;10,0439;10,0439;100;;;;;20,0878;0;20,0878;0;20,0878;0;БашИнСв ао;Башинформсвязь(ПАО) ао;Акция обыкновенная;RU0009059216;RUB;1;949023840;;0;0;;10.07.2018;;3;TQBR;22,01;28,59
BISVP;3,94676;3,94676;100;;;;;7,89352;0;7,89352;0;7,89352;0;БашИнСв ап;Башинформсвязь(ПАО) ап;Акция привилегированная ;RU0009100176;RUB;1;36165270;;0;0;;10.07.2018;;3;TQBR;19,33;28,88
BLNG;2,6978;2,6978;100;;;;;5,3956;0;5,3956;0;5,3956;0;Белон ао;Белон ОАО ао;Акция обыкновенная;RU000A0J2QG8;RUB;0,01;1150000000;;0;0;;;;3;TQBR;6,33;5,72
BRZL;863,29;863,29;100;;;;;1726,58;0;1726,58;0;1726,58;0;БурЗолото;Бурятзолото ПАО ао;Акция обыкновенная;RU0009288658;RUB;0,025;7027270;;0;0;;;;3;TQBR;8,22;9,21
BSPB;47,461;47,461;35;156701;49;783505;78;64,072;30,85;70,717;24,205;84,481;10,441;БСП ао;ПАО "Банк "Санкт-Петербург" ао;Акция обыкновенная;RU0009100945;RUB;1;499554000;;0;0;;04.06.2018;1,62;1;TQBR;5,83;5,28
BSPBP;;;100;;;;;;;;;;;БСП ап;ПАО "Банк "Санкт-Петербург" ап;Акция привилегированная ;RU000A0JP0U9;RUB;1;0;;0;0;;04.06.2018;;;RPMA;31,35;56,28
CBOM;5,0409;5,0409;36;2263109;51;11315545;80;6,8556;3,2262;7,6118;2,47;9,0736;1,0082;МКБ ао;"МКБ" ПАО ао;Акция обыкновенная;RU000A0JUG31;RUB;1;27079709866;;0;0;;31.07.2015;0;1;TQBR;4,12;3,48
CHEP;110,9088;110,9088;100;;;;;221,8176;0;221,8176;0;221,8176;0;ЧТПЗ ао;"ЧТПЗ" ПАО ао;Акция обыкновенная;RU0009066807;RUB;1;472382880;;0;0;;10.05.2018;;3;TQBR;12,59;15,30
CHGZ;22,9811;22,9811;100;;;;;45,9622;0;45,9622;0;45,9622;0;РН-ЗапСиб;РН-Западная Сибирь ПАО ао;Акция обыкновенная;RU0009082291;RUB;0,1;26771420;;0;0;;;;3;TQBR;17,25;19,97
CHKZ;1958,39;1958,39;100;;;;;3916,78;0;3916,78;0;3916,78;0;ЧКПЗ ао;"ЧКПЗ" ПАО ао;Акция обыкновенная;RU000A0JNST0;RUB;200;600216;;0;0;;09.07.2018;;3;TQBR;52,38;61,83
CHMF;1003,02;1003,02;17;160799;23;803995;36;1173,533;832,507;1233,715;772,325;1364,107;641,933;СевСт-ао;Северсталь (ПАО)ао;Акция обыкновенная;RU0009046510;RUB;0,01;837718660;;1;0;;04.12.2018;110,05;1;TQBR;8,45;6,10
CHMK;2592,87;2592,87;100;;;;;5185,74;0;5185,74;0;5185,74;0;ЧМК ао;"ЧМК" ПАО ао;Акция обыкновенная;RU0007665170;RUB;1;3161965;;0;0;;;;3;TQBR;6,08;6,91
CLSB;0,06035;0,06035;100;;;;;0,1207;0;0,1207;0;0,1207;0;ЧелябЭС ао;"Челябэнергосбыт" ПАО;Акция обыкновенная;RU000A0EABG1;RUB;0,007;6894914573;;0;0;;16.07.2018;;3;TQBR;32,94;27,03
CLSBP;0,06075;0,06075;100;;;;;0,1215;0;0,1215;0;0,1215;0;ЧелябЭС ап;"Челябэнергосбыт" ПАО ап;Акция привилегированная ;RU000A0EABH9;RUB;0,007;859219416;;0;0;;16.07.2018;;3;TQBR;30,64;25,79
CNTL;16,5864;16,5864;100;;;;;33,1728;0;33,1728;0;33,1728;0;Телеграф;"Центральный Телеграф" ПАО ао;Акция обыкновенная;RU0007665147;RUB;1;166167000;;0;0;;18.06.2018;;3;TQBR;18,75;15,52
CNTLP;11,9102;11,9102;100;;;;;23,8204;0;23,8204;0;23,8204;0;Телеграф-п;"Центральный Телеграф" ПАО ап;Акция привилегированная ;RU0007665139;RUB;1;55389000;;0;0;;18.06.2018;;3;TQBR;9,01;10,44
DASB;0,108561;0,108561;100;;;;;0,217122;0;0,217122;0;0,217122;0;ДагСб ао;ао Дагестанская энергосб.комп.;Акция обыкновенная;RU000A0F63G0;RUB;0,003;5269115472;;0;0;;;;3;TQBR;15,90;45,91
DIOD;4,2965;4,2965;100;;;;;8,593;0;8,593;0;8,593;0;iЗаводДИОД;Завод ДИОД ПАО ао;Акция обыкновенная;RU000A0JQWC1;RUB;0,01;91500000;;0;0;R;04.07.2018;;3;TQBR;9,94;10,21
DSKY;89,323;89,323;50;118828;71;594140;95;133,985;44,662;152,742;25,904;174,18;4,466;ДетскийМир;ПАО Детский мир;Акция обыкновенная;RU000A0JSQ90;RUB;0,0004;739000000;;0;0;;16.12.2018;6,85;1;TQBR;4,73;3,73
DVEC;1,39485;1,39485;100;;;;;2,7897;0;2,7897;0;2,7897;0;ДЭК ао;"ДЭК" ПАО ао;Акция обыкновенная;RU000A0JP2W1;RUB;1;17223107804;;0;0;;;;2;TQBR;21,76;23,12
DZRD;2148,23;2148,23;100;;;;;4296,46;0;4296,46;0;4296,46;0;iДонскЗР;Донской завод радиодеталей ао;Акция обыкновенная;RU000A0JQW11;RUB;1;343407;;0;0;R;08.05.2013;;3;TQBR;36,29;55,95
DZRDP;2042,32;2042,32;100;;;;;4084,64;0;4084,64;0;4084,64;0;iДонскЗР п;Донской завод радиодеталей ап;Акция привилегированная ;RU000A0JQW29;RUB;1;114469;;0;0;R;08.05.2013;;3;TQBR;13,75;42,83
EELT;9,692;9,692;100;;;;;19,384;0;19,384;0;19,384;0;ЕвроЭлтех;"ЕвропЭлектротехника" ПАО ао;Акция обыкновенная;RU000A0JWW54;RUB;1;610000000;;0;0;;25.06.2018;0,00065;3;TQDE;7,07;6,88
ELTZ;349,71;349,71;100;;;;;699,42;0;699,42;0;699,42;0;Электрцинк;Электроцинк ОАО ао;Акция обыкновенная;RU000A0B66V1;RUB;1;1404308;;0;0;;;;3;TQBR;18,89;18,78
ENRU;1,1009;1,1009;35;10005303;49;50026515;78;1,48622;0,71559;1,64034;0,56146;1,9596;0,2422;ЭнелРос ао;"Энел Россия" ПАО;Акция обыкновенная;RU000A0F5UN3;RUB;1;35371898370;;0;0;;22.06.2018;0,14493;1;TQBR;7,92;8,49
FEES;0,1538;0,1538;21;1589223344;30;7946116720;47;0,186098;0,121502;0,19994;0,10766;0,226086;0,081514;ФСК ЕЭС ао;"ФСК ЕЭС" ПАО ао;Акция обыкновенная;RU000A0JPNN9;RUB;0,5;1274665323063;;1;0;;18.07.2018;0,015931868834;1;TQBR;7,74;6,42
FESH;4,9559;4,9559;100;;;;;9,9118;0;9,9118;0;9,9118;0;ДВМП ао;ДВ морское пароходство ПАО ао;Акция обыкновенная;RU0008992318;RUB;1;2951250000;;0;0;;;;3;TQBR;20,67;15,54
FTRE;240;240;100;;;;;480;0;480;0;480;0;БУДУЩЕЕ ао;Финансовая группа БУДУЩЕЕ ао;Акция обыкновенная;RU000A0JWNX4;RUB;1000;50293125;;0;0;;;;2;TQBR;19,27;56,28
GAZA;404,667;404,667;100;;;;;809,334;0;809,334;0;809,334;0;ГАЗ ао;ГАЗ ПАО ао;Акция обыкновенная;RU0009034268;RUB;1;18520260;;0;0;;09.07.2018;;3;TQBR;11,45;7,80
GAZAP;321,236;321,236;100;;;;;642,472;0;642,472;0;642,472;0;ГАЗ ап;ГАЗ ПАО ап;Акция привилегированная ;RU000A0ZYHF5;RUB;1;1453500;;0;0;;09.07.2018;;3;TQBR;52,38;56,20
GAZC;300,878;300,878;100;;;;;601,756;0;601,756;0;601,756;0;ГАЗКОН-ао;ГАЗКОН (ОАО) ао;Акция обыкновенная;RU000A0JQG86;RUB;10;185125000;;0;0;;24.12.2018;;3;TQBR;31,35;56,28
GAZP;151,331;151,331;17;9686739;21;48433695;28;177,057;125,605;183,111;119,551;193,704;108,958;ГАЗПРОМ ао;"Газпром" (ПАО) ао;Акция обыкновенная;RU0007661625;RUB;5;23673512900;;1;0;;19.07.2018;8,04;1;TQBR;6,95;6,23
GAZS;299,878;299,878;100;;;;;599,756;0;599,756;0;599,756;0;ГАЗ-сервис;ГАЗ-сервис (ОАО) ао;Акция обыкновенная;RU000A0JQG78;RUB;10;185125000;;0;0;;24.12.2018;;3;TQBR;31,35;56,28
GAZT;140,413;140,413;100;;;;;280,826;0;280,826;0;280,826;0;ГАЗ-Тек ао;ГАЗ-Тек ОАО ао;Акция обыкновенная;RU000A0JS199;RUB;100;471428300;;0;0;;24.12.2018;;3;TQBR;44,62;85,38
GCHE;1089,1;1089,1;50;8870;71;44350;95;1633,65;544,55;1862,36;315,84;2123,75;54,46;ЧеркизГ-ао;Группа Черкизово ПАО-ао;Акция обыкновенная;RU000A0JL4R1;RUB;0,01;43963773;;0;0;;08.10.2018;134,89;3;TQBR;11,29;8,52
GMKN;11949,45;11949,45;17;40908;21;204540;28;13980,86;9918,04;14458,83;9440,07;15295,3;8603,6;ГМКНорНик;ГМК "Нор.Никель" ПАО ао;Акция обыкновенная;RU0007288411;RUB;1;158245476;;1;0;;01.10.2018;832,18;1;TQBR;11,70;6,14
